ts_utc,token_id,stream_bid,rest_bid,stream_ask,rest_ask,bid_diff_ticks,ask_diff_ticks,verdict,stream_age_s
2026-07-31T14:26:23Z,27146956652877944551877724690365745048289675287536243265951843487691050802191,0.001,0.001,0.003,0.003,0.0,0.0,match,0.0
2026-07-31T14:26:23Z,33216695217861742195941369663873573949679634432452142092545486849801915283392,0.997,0.997,0.999,0.999,0.0,0.0,match,0.0
2026-07-31T14:26:23Z,13626339474500741281267150251103298621447341398568389842724200874281441919093,,,0.001,0.001,,0.0,match,0.0
2026-07-31T14:26:23Z,43385952159387308724045408405165854799326229108881647948414227139841261524925,0.999,0.999,,,0.0,,match,0.0
2026-07-31T14:26:23Z,53131880523520464120962311565438199254884402137343313872633051190068750060870,,,0.001,0.001,,0.0,match,0.0
2026-07-31T14:26:23Z,106156124897953208430029431304076533607578991427849443205316639208814743218188,0.999,0.999,,,0.0,,match,0.0
2026-07-31T14:26:23Z,45738339700472286576494734954644290507759531685369947619320622642171283382500,0.999,0.999,,,0.0,,match,0.0
2026-07-31T14:26:23Z,94359457787891262794284236691140415788583701935514578482100525359148140799074,,,0.001,0.001,,0.0,match,0.0
2026-07-31T14:26:23Z,38375390735903919361090148337667596551401733841491348070672214129668268330707,,,0.001,0.001,,0.0,match,0.0
2026-07-31T14:26:23Z,72997992612825028930618018623873732681808970538309899460074520691370300818739,0.999,0.999,,,0.0,,match,0.0
2026-07-31T14:27:08Z,27146956652877944551877724690365745048289675287536243265951843487691050802191,0.001,0.001,0.003,0.003,0.0,0.0,match,0.0
2026-07-31T14:27:08Z,33216695217861742195941369663873573949679634432452142092545486849801915283392,0.997,0.997,0.999,0.999,0.0,0.0,match,0.0
2026-07-31T14:27:08Z,13626339474500741281267150251103298621447341398568389842724200874281441919093,,,0.001,0.001,,0.0,match,0.0
2026-07-31T14:27:08Z,43385952159387308724045408405165854799326229108881647948414227139841261524925,0.999,0.999,,,0.0,,match,0.0
2026-07-31T14:27:08Z,53131880523520464120962311565438199254884402137343313872633051190068750060870,,,0.001,0.001,,0.0,match,0.0
2026-07-31T14:27:08Z,106156124897953208430029431304076533607578991427849443205316639208814743218188,0.999,0.999,,,0.0,,match,0.0
2026-07-31T14:27:08Z,45738339700472286576494734954644290507759531685369947619320622642171283382500,0.999,0.999,,,0.0,,match,0.0
2026-07-31T14:27:08Z,94359457787891262794284236691140415788583701935514578482100525359148140799074,,,0.001,0.001,,0.0,match,0.0
2026-07-31T14:27:08Z,38375390735903919361090148337667596551401733841491348070672214129668268330707,,,0.001,0.001,,0.0,match,0.0
2026-07-31T14:27:08Z,72997992612825028930618018623873732681808970538309899460074520691370300818739,0.999,0.999,,,0.0,,match,0.0
2026-07-31T14:27:52Z,27146956652877944551877724690365745048289675287536243265951843487691050802191,0.001,0.001,0.003,0.003,0.0,0.0,match,0.0
2026-07-31T14:27:52Z,33216695217861742195941369663873573949679634432452142092545486849801915283392,0.997,0.997,0.999,0.999,0.0,0.0,match,0.0
2026-07-31T14:27:52Z,13626339474500741281267150251103298621447341398568389842724200874281441919093,,,0.001,0.001,,0.0,match,0.0
2026-07-31T14:27:52Z,43385952159387308724045408405165854799326229108881647948414227139841261524925,0.999,0.999,,,0.0,,match,0.0
2026-07-31T14:27:52Z,53131880523520464120962311565438199254884402137343313872633051190068750060870,,,0.001,0.001,,0.0,match,0.0
2026-07-31T14:27:52Z,106156124897953208430029431304076533607578991427849443205316639208814743218188,0.999,0.999,,,0.0,,match,0.0
2026-07-31T14:27:52Z,45738339700472286576494734954644290507759531685369947619320622642171283382500,0.999,0.999,,,0.0,,match,0.0
2026-07-31T14:27:52Z,94359457787891262794284236691140415788583701935514578482100525359148140799074,,,0.001,0.001,,0.0,match,0.0
2026-07-31T14:27:52Z,38375390735903919361090148337667596551401733841491348070672214129668268330707,,,0.001,0.001,,0.0,match,0.0
2026-07-31T14:27:52Z,72997992612825028930618018623873732681808970538309899460074520691370300818739,0.999,0.999,,,0.0,,match,0.0
