ts_utc,token_id,stream_bid,rest_bid,stream_ask,rest_ask,bid_diff_ticks,ask_diff_ticks,verdict,stream_age_s
2026-07-31T19:13:21Z,27146956652877944551877724690365745048289675287536243265951843487691050802191,0.001,0.001,0.003,0.003,0.0,0.0,match,0.0
2026-07-31T19:13:21Z,33216695217861742195941369663873573949679634432452142092545486849801915283392,0.997,0.997,0.999,0.999,0.0,0.0,match,0.0
2026-07-31T19:13:21Z,87811808813553879856351839381400249517684530928608821949285796387486547133164,0.29,0.29,0.3,0.3,0.0,0.0,match,0.0
2026-07-31T19:13:21Z,67021091896272569767448640536390270996721281816939226388307772323520174561559,0.7,0.7,0.71,0.71,0.0,0.0,match,0.0
2026-07-31T19:13:21Z,114032603163145625334492420626131015616960175512177637671182501136180561700711,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:13:21Z,5440507028822975682546447861728849405421215504490710402848789902860379611913,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:13:21Z,91462602922833180947726112170254390614818952379099373819980544185105814335912,0.008,0.008,0.015,0.015,0.0,0.0,match,0.0
2026-07-31T19:13:21Z,81721579149417963189765236244745822836753525940504722923358710243774318095792,0.985,0.985,0.992,0.992,0.0,0.0,match,0.0
2026-07-31T19:13:21Z,25833169055592830552248267144711111137650707446685661578070083522867399973775,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:13:21Z,96178289963040200620703848874877712212637809030966664466182363345407337829935,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:13:21Z,5823805802875099304203116182652199693089526522530469365767529374822548212673,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:13:21Z,44485368873643784531862401772918820589721230664189835980509638753050855169710,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:13:21Z,57748138085022719760345772310040703848567377822400132842014290209986511882046,0.021,0.021,0.022,0.022,0.0,0.0,match,0.0
2026-07-31T19:13:21Z,28239418772633645184924651434956000849078365566842629564562475378531350731731,0.978,0.978,0.979,0.979,0.0,0.0,match,0.0
2026-07-31T19:13:21Z,11728583497514710574356365513249856989304427730091039531942765980605070477300,0.998,0.998,0.999,0.999,0.0,0.0,match,0.0
2026-07-31T19:13:21Z,75848210276979954337354349909329862141109563590210566057575338891512846216329,0.001,0.001,0.002,0.002,0.0,0.0,match,0.0
2026-07-31T19:13:21Z,3833250547311424992805456252782158332407335422350263044535636678503072819141,0.87,0.87,0.88,0.88,0.0,0.0,match,0.0
2026-07-31T19:13:21Z,30676432546818066080538703205639237969080188796746196694446265523208566227883,0.12,0.12,0.13,0.13,0.0,0.0,match,0.0
2026-07-31T19:13:21Z,75420985704539476720201822398737536250361142581449146517471804075014610439901,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:13:21Z,78180905609071236572586667008641046319691354734695474716224751695019997977366,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:13:21Z,66716800962629020528738338989411322987789811349218968751321248781738766660895,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:13:21Z,53931373855553110798217671266901710729084676058266724541462486256421471787072,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:13:21Z,76105733415998926390129496940295162456139380792182389508546861175235643513945,0.49,0.49,0.5,0.5,0.0,0.0,match,0.0
2026-07-31T19:13:21Z,24510156073299886915375683237756073428325078326433420767742812405509165448150,0.5,0.5,0.51,0.51,0.0,0.0,match,0.0
2026-07-31T19:15:58Z,27146956652877944551877724690365745048289675287536243265951843487691050802191,0.001,0.001,0.003,0.003,0.0,0.0,match,0.0
2026-07-31T19:15:58Z,33216695217861742195941369663873573949679634432452142092545486849801915283392,0.997,0.997,0.999,0.999,0.0,0.0,match,0.0
2026-07-31T19:15:58Z,87811808813553879856351839381400249517684530928608821949285796387486547133164,0.25,0.25,0.26,0.26,0.0,0.0,match,0.0
2026-07-31T19:15:58Z,67021091896272569767448640536390270996721281816939226388307772323520174561559,0.74,0.74,0.75,0.75,0.0,0.0,match,0.0
2026-07-31T19:15:58Z,114032603163145625334492420626131015616960175512177637671182501136180561700711,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:15:58Z,5440507028822975682546447861728849405421215504490710402848789902860379611913,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:15:58Z,91462602922833180947726112170254390614818952379099373819980544185105814335912,0.008,0.008,0.015,0.015,0.0,0.0,match,0.0
2026-07-31T19:15:58Z,81721579149417963189765236244745822836753525940504722923358710243774318095792,0.985,0.985,0.992,0.992,0.0,0.0,match,0.0
