category,segment,bucket,n,days,mean_gross_cents,mean_net_cents,train_net_cents,test_net_cents,hit_rate,net_positive_share,thin
sports,spread,0-0.5c,62082,11,0.0751,-1.6347,-1.7239,-1.4682,0.6018,0.0235,False
sports,spread,0.5-1c,13601,11,0.1053,-2.1839,-2.245,-2.0767,0.5528,0.0305,False
sports,spread,1-2c,110067,11,0.0955,-2.6244,-2.5824,-2.6693,0.5478,0.0384,False
sports,spread,2-5c,17443,11,0.1559,-4.0219,-4.1233,-3.9036,0.5085,0.0825,False
sports,spread,5-10.1c,2642,11,-0.6473,-9.1131,-8.9589,-9.2419,0.4566,0.0924,False
sports,price,0.05-0.15,35353,11,-0.0121,-1.7151,-1.6735,-1.7774,0.5453,0.0273,False
sports,price,0.15-0.35,41048,11,0.0635,-2.7214,-2.7809,-2.6455,0.5646,0.0399,False
sports,price,0.35-0.65,51315,11,0.1518,-3.3453,-3.178,-3.549,0.5636,0.0506,False
sports,price,0.65-0.85,41434,11,0.1043,-2.6758,-2.7249,-2.6128,0.5504,0.0369,False
sports,price,0.85-0.95,36685,11,0.0905,-1.6193,-1.584,-1.6661,0.5442,0.0289,False
sports,strength,0.65-0.75,66898,11,0.0819,-2.5397,-2.4611,-2.6396,0.5354,0.0447,False
sports,strength,0.75-0.85,59388,11,0.0619,-2.4697,-2.3871,-2.5895,0.5537,0.0336,False
sports,strength,0.85-0.95,63696,11,0.0977,-2.4709,-2.4842,-2.4563,0.5676,0.0307,False
sports,strength,0.95-1.01,15853,11,0.1411,-2.5432,-2.5057,-2.6217,0.5865,0.0534,False
sports,spread x strength,0-0.5c x 0.65-0.75,19295,11,0.0298,-1.7707,-1.8105,-1.692,0.5584,0.0173,False
sports,spread x strength,0-0.5c x 0.75-0.85,19099,11,0.0461,-1.6379,-1.6696,-1.5802,0.5855,0.017,False
sports,spread x strength,0-0.5c x 0.85-0.95,17365,11,0.1197,-1.5113,-1.6993,-1.2382,0.6223,0.0302,False
sports,spread x strength,0-0.5c x 0.95-1.01,6323,11,0.1781,-1.549,-1.6865,-1.0288,0.6758,0.0433,False
sports,spread x strength,0.5-1c x 0.65-0.75,3750,11,0.0248,-2.2911,-2.298,-2.2813,0.5198,0.0309,False
sports,spread x strength,0.5-1c x 0.75-0.85,3972,11,0.0582,-2.2861,-2.3516,-2.1167,0.577,0.0237,False
sports,spread x strength,0.5-1c x 0.85-0.95,4128,11,0.2132,-2.0212,-2.098,-1.9072,0.5618,0.0315,False
sports,spread x strength,0.5-1c x 0.95-1.01,1751,11,0.1307,-2.1064,-2.1938,-1.9405,0.5484,0.0428,False
sports,spread x strength,1-2c x 0.65-0.75,37776,11,0.0976,-2.6677,-2.6038,-2.7358,0.5393,0.0502,False
sports,spread x strength,1-2c x 0.75-0.85,30654,11,0.0887,-2.6017,-2.5526,-2.6642,0.552,0.0374,False
