fill_model,gamma,fills,spread_capture_usd,markout_usd,late_drift_usd,rebate_usd,total_usd,inventory_abs_mean_usd
touch,0.0,30892,45432.2097,-223218.7179,-18870.2984,5944.1546,-190712.652,82.91
touch,0.04,31823,44681.7896,-226771.048,-14411.793,6039.5352,-190461.5162,49.95
touch,0.08,32553,43285.1459,-227282.806,-14417.1041,6117.9255,-192296.8388,38.9
touch,0.16,33044,40658.2146,-226046.6531,-19359.5728,6188.942,-198559.0692,27.51
touch,0.32,33268,36720.4954,-224379.9571,-22987.3394,6230.6569,-204416.1442,20.82
tape,0.0,11994,19614.8587,-48271.766,-19669.5201,2353.1391,-45973.2882,93.86
tape,0.04,12884,20033.1559,-48557.116,-19452.8119,2470.019,-45506.7529,53.61
tape,0.08,13341,19781.63,-48298.9477,-19037.2392,2519.7697,-45034.7871,40.61
tape,0.16,13569,19050.566,-48476.7606,-16265.5497,2540.8698,-43150.8744,28.95
tape,0.32,13538,17800.6411,-45943.5902,-15018.0363,2541.9744,-40619.011,21.42
