fill_model,gamma,fills,spread_capture_usd,markout_usd,late_drift_usd,rebate_usd,total_usd,inventory_abs_mean_usd
touch,0.0,2110,3056.0553,-5642.8824,-1284.0672,399.0103,-3471.884,125.5
touch,0.04,2115,2800.8824,-6189.8706,-500.811,395.1806,-3494.6186,62.93
touch,0.08,2277,2705.1723,-6752.9599,-1212.9842,426.2491,-4834.5227,41.62
touch,0.16,2528,2438.5991,-6997.1855,-1501.1796,472.7104,-5587.0557,27.39
touch,0.32,3134,1835.3712,-7289.5927,-1953.9323,590.8752,-6817.2786,17.9
tape,0.0,2647,4810.5465,-494.2777,1433.3142,502.3706,6251.9536,221.81
tape,0.04,3152,4816.953,-117.4676,1275.007,576.2794,6550.7718,113.57
tape,0.08,3260,4579.5236,-532.1119,1363.5893,585.7716,5996.7725,75.86
tape,0.16,3300,4067.8839,-912.7973,1032.2078,591.6108,4778.9051,48.16
tape,0.32,3668,3263.319,-1249.138,930.6132,657.2675,3602.0618,34.51
