fill_model,gamma,fills,spread_capture_usd,markout_usd,late_drift_usd,rebate_usd,total_usd,inventory_abs_mean_usd
touch,0.0,92,151.9254,-131.525,314.3905,17.4733,352.2642,63.12
touch,0.04,94,144.8821,-228.753,234.4553,17.6026,168.1869,39.4
touch,0.08,92,136.3994,-238.2449,33.8671,17.5076,-50.4709,29.56
touch,0.16,100,119.4487,-238.2884,-35.3532,18.5585,-135.6344,22.2
touch,0.32,131,103.0256,-248.2829,-245.9752,24.9524,-366.2801,16.68
tape,0.0,282,456.6703,-81.396,-589.8838,53.2884,-161.3211,163.59
tape,0.04,297,442.4148,-51.4432,5.0972,53.8428,449.9116,85.35
tape,0.08,288,395.9465,-6.4806,-37.1213,52.0356,404.3801,50.04
tape,0.16,304,358.3599,4.7141,-91.5528,55.4776,326.9988,32.48
tape,0.32,314,243.9917,-38.3104,-96.8581,53.895,162.7182,24.67
