signal,horizon_s,delay_s,n,moved,hit_rate,wilson_lb95,mean_gross_cents,mean_spread_cost_cents,mean_fee_cost_cents,mean_cost_cents,mean_net_cents,edge_retained
imbalance,300,0.0,205835,72786,0.5553,0.5517,0.0856,0.9383,1.6458,2.5841,-2.4985,1.0
imbalance,300,120.0,204191,63858,0.5372,0.5334,0.0301,0.9179,1.645,2.5629,-2.5328,0.3516
imbalance,900,0.0,201430,91286,0.568,0.5647,0.1298,0.9198,1.6491,2.5688,-2.4391,1.0
imbalance,900,120.0,200099,87484,0.5557,0.5524,0.0799,0.9033,1.6493,2.5526,-2.4727,0.6156
imbalance,900,300.0,200001,79659,0.5385,0.535,0.0428,0.9037,1.6479,2.5516,-2.5088,0.3297
flow,300,0.0,93868,55021,0.517,0.5128,-0.0016,1.0247,1.849,2.8738,-2.8753,
flow,300,120.0,93344,51412,0.5115,0.5072,-0.0032,1.024,1.841,2.8649,-2.8681,
flow,900,0.0,88126,57117,0.5149,0.5108,-0.0517,0.9917,1.8664,2.8581,-2.9099,
flow,900,120.0,87711,55675,0.5127,0.5085,-0.0542,0.9904,1.8623,2.8527,-2.9069,
flow,900,300.0,87443,53108,0.5087,0.5044,-0.0352,0.9967,1.8511,2.8478,-2.883,
combo,300,0.0,18891,10850,0.5656,0.5563,0.2111,0.9913,1.8228,2.8141,-2.6031,1.0
combo,300,120.0,18797,9912,0.5397,0.5299,0.0193,0.9586,1.8171,2.7757,-2.7564,0.0914
combo,900,0.0,17793,11542,0.5768,0.5677,0.2763,0.9541,1.8371,2.7912,-2.5149,1.0
combo,900,120.0,17717,11134,0.5617,0.5525,0.1106,0.9213,1.8344,2.7557,-2.6452,0.4003
combo,900,300.0,17692,10477,0.5344,0.5248,0.0734,0.9283,1.8254,2.7537,-2.6803,0.2657
