question,pool_usd_per_day,max_spread_cents,spread_cents,competing_shares,competing_orders,pool_per_competing_share,empty_band
LoL: CTBC Flying Oyster vs GAM Esports (BO3) - LCP Group Stage,1475.0,2.5,4.7,0.0,0,14.75,True
Games Total: O/U 2.5,632.0,2.5,4.0,0.0,0,6.32,True
LoL: CTBC Flying Oyster vs GAM Esports - Game 2 Winner,632.0,2.5,7.0,0.0,0,6.32,True
Game Handicap: GAM (-1.5) vs CTBC Flying Oyster (+1.5),632.0,2.5,12.0,0.0,0,6.32,True
Map Handicap: FaZe (-1.5) vs TheMongolz (+1.5),632.0,2.5,13.9,0.0,0,6.32,True
Map 2 Rounds Handicap: FaZe (-3.5) vs TheMongolz (+3.5),632.0,2.5,63.0,0.0,0,6.32,True
Map 3 Rounds Handicap: FaZe (-3.5) vs TheMongolz (+3.5),632.0,2.5,64.0,0.0,0,6.32,True
Games Total: O/U 2.5,400.0,2.5,12.0,0.0,0,4.0,True
Counter-Strike: INOX Division vs Falcons Force (BO3) - Thunderpick World Championship European Series #2 Playoffs,337.0,2.5,1.0,0.0,0,3.37,True
BetBoom Team vs MOUZ: Draw (1-1)?,311.0,2.5,59.0,0.0,0,3.11,True
BetBoom Team to win 2-0?,311.0,2.5,11.0,0.0,0,3.11,True
Dota 2: L1ga Team vs REKONIX (BO3) - Games of the Future Group D,933.0,2.5,2.0,362.0,1,2.577348,False
"Will Warsh say ""Supply shock"" during July Press Conference?",250.0,4.5,8.0,0.0,0,2.5,True
"Will Trump say ""Venezuela"" during cabinet meeting?",250.0,4.5,7.0,0.0,0,2.5,True
"Will Trump say ""Million"" or ""Billion"" or ""Trillion"" 30+ times during cabinet meeting?",250.0,4.5,35.0,0.0,0,2.5,True
Map 2 Total Rounds: Over/Under 21.5,632.0,2.5,2.0,423.14,1,1.493596,False
Dota 2: Enjoy vs GLYPH - Game 2 Winner,400.0,2.5,1.0,289.76,1,1.380453,False
Dota 2: BetBoom Team vs MOUZ - Game 2 Winner,400.0,2.5,1.0,500.0,1,0.8,False
Valorant: Global Esports vs Gen.G Esports (BO3) - VCT Pacific Group Alpha,933.0,2.5,1.0,1175.79,1,0.793509,False
Dota 2: L1ga Team vs REKONIX - Game 1 Winner,400.0,2.5,3.0,580.5,1,0.689061,False
"Will Trump say ""Filibuster"" during cabinet meeting?",250.0,4.5,6.0,408.0,3,0.612745,False
Games Total: O/U 2.5,632.0,2.5,4.0,1270.0,2,0.497638,False
"Will Trump say ""Putin"" during cabinet meeting?",250.0,4.5,6.0,699.98,2,0.357153,False
Dota 2: L1ga Team vs REKONIX - Game 2 Winner,400.0,2.5,1.0,1875.14,3,0.213317,False
Dota 2: Enjoy vs GLYPH (BO3) - Games of the Future Group C,933.0,2.5,2.0,4837.0,2,0.192888,False
Counter-Strike: FaZe vs TheMongolz (BO3) - BLAST Bounty Playoffs,1475.0,2.5,1.0,8628.21,5,0.170951,False
Will India’s 2026 Annual Inflation be at least 4.50%?,289.0,4.5,2.0,1709.06,7,0.169099,False
Counter-Strike: FaZe vs TheMongolz - Map 1 Winner,632.0,2.5,0.4,4190.81,2,0.150806,False
"Will Trump say ""Biden"" or ""Obama"" 10+ times during cabinet meeting?",250.0,4.5,4.0,2614.81,4,0.095609,False
"Will Trump say ""Nazi"" or ""Hitler"" during cabinet meeting?",250.0,4.5,1.0,4254.63,6,0.05876,False
Will Marcus Rashford stay at Manchester United?,264.0,4.5,0.4,5087.79,26,0.051889,False
Will Aurelien Tchouameni stay at Real Madrid?,300.0,4.5,0.1,11714.8,22,0.025609,False
US x Iran Effective Ceasefire by August 31?,250.0,3.5,1.0,13554.75,7,0.018444,False
Counter-Strike: FaZe vs TheMongolz - Map 2 Winner,632.0,2.5,1.0,47112.91,4,0.013415,False
"US x Iran diplomatic meeting by August 31, 2026?",300.0,4.5,1.0,22782.61,10,0.013168,False
US x Iran Effective Ceasefire by July 31?,300.0,3.5,1.0,27431.52,5,0.010936,False
Map 3 Rounds Handicap: Sinners (-3.5) vs Rune Eaters (+3.5),759.0,2.5,1.0,102261.06,2,0.007422,False
Will Colman Domingo – “Euphoria” win Emmys 2026: Outstanding guest actor in a drama series?,348.0,4.5,1.0,75280.55,7,0.004623,False
Map 3 Total Rounds: Over/Under 21.5,759.0,2.5,1.0,245167.65,2,0.003096,False
Map 3 Total Rounds: Over/Under 21.5,632.0,2.5,3.0,446173.08,2,0.001416,False
Will there be no change in Fed interest rates after the September 2026 meeting?,1000.0,4.5,1.0,773991.69,10,0.001292,False
Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,1000.0,4.5,1.0,776365.85,9,0.001288,False
Fed rate hike in 2026?,500.0,4.5,1.0,515515.99,9,0.00097,False
Will the U.S. invade Iran before 2027?,1000.0,3.5,1.0,2035098.99,6,0.000491,False
Strait of Hormuz traffic returns to normal by August 31?,500.0,3.5,1.0,1374627.18,6,0.000364,False
